Adversary name,Adversary code,Technique list
Gameboard Plugin Placeholder Adversary,7d1794bb-d7ce-4fe8-bae0-6959fa0a0a48,"['x', 'x']"
Blue Certification 3,2c99958e-36e0-4fab-bcdf-977926a58cd6,['x']
Blue Certification 2,890508db-9646-4a2d-8d1a-4ea25b3ce02a,['x']
Blue Certification 4,9fbc7164-9175-4fc6-bb20-9669dc121df8,['x']
Blue Certification 3 Cleanup,2885d0fe-60a7-469b-9e2e-a46b7be2b4df,['x']
Blue Certification 5 - Shell Profile,08619190-9eb5-4f35-97e1-0dafe04e0203,['x']
Blue Certification 1,72c0b333-f6fe-4fa0-a342-4215e8de3947,['x']
Incident responder,7e422753-ad7a-4401-bc8b-b12a28e69c25,"['x', 'T1065', 'x', 'x', 'x', 'x', 'T1065', 'T1065', 'x', 'x', 'x']"
Elastic Hunter,D21B9E7F-CFF5-4030-AD28-388085F8A815,"['x', 'x', 'x']"
Task Hunter,169cdc73-8fea-49cf-9021-d0b3c24e2b17,"['x', 'x', 'x', 'x', 'x', 'x']"
Query Sysmon,f61e3fc0-43d8-4b36-b5d3-710610b92974,"['x', 'x', 'x', 'x']"
FIN7,c30763a7-172c-431e-a877-b18aecf9292a,"['T1113', 'T1059.003', 'T1057', 'T1003.002', 'T1570', 'T1574.001', 'T1027', 'T1546.011', 'T1057', 'T1560.001']"
Carbanak,186b4d47-f4c0-48cb-9688-887070db45f1,"['T1113', 'T1112', 'T1140', 'T1003.001', 'T1003.001', 'T1105', 'T1570', 'T1021.004', 'T1057', 'T1083', 'T1005', 'T1005', 'T1018', 'T1569.002', 'T1571', 'T1018', 'T1572', 'T1033', 'T1105', 'T1547.001', 'T1056.001', 'T1056.001', 'T1555.003', 'T1070.004']"
APT29,4975696e-1d41-11eb-adc1-0242ac120002,"['T1036', 'T1086', 'T1119', 'T1016', 'T1016', 'T1033', 'T1041', 'T1057', 'T1057', 'T1007', 'T1007', 'T1082', 'T1082', 'T1069', 'T1069', 'T1069', 'T1087', 'T1087', 'T1012', 'T1036', 'T1088', 'T1088', 'T1112', 'T1055', 'T1362', 'T1018', 'T1018', 'T1016', 'T1057', 'T1107', 'T1082', 'T1049', 'T1003', 'T1023', 'T1023', 'T1134', 'T1003', 'T1134', 'T1145', 'T1036', 'T1113', 'T1115', 'T1417', 'T1041', 'T1134.001', 'T1134.001', 'T1086', 'T1086', 'T1134.001', 'T1105', 'T1113', 'T1083', 'T1086', 'T1041', 'T1107', 'T1529', 'T1107', 'T1060', 'T1106', 'T1134', 'T1204', 'T1099', 'T1063', 'T1518', 'T1082', 'T1082', 'T1033', 'T1057', 'T1088', 'T1003', 'T1003', 'T1084', 'T1018', 'T1033', 'T1105', 'T1114', 'T1005', 'T1537', 'T1488', 'T1003', 'T1085']"
